slang,formal
meker,mikir
mekkah,makkah
melahirin,melahirkan
melaks,melaksanakan
melaksakan,melaksanakan
melakukn,melakukan
melatih,mendidik
melaui,melalui
melbu,melebuh
mele,melulu
melebihin,melebihi
melecekan,melecehkan
meledakan,meledakkan
meleduk,meledak
melempep,lembek
melihara,memelihara
melihatataumenyaksikan,melihat
melipiirr,melipir
mellow,lembut
melu,ikut
meluk,memeluk
meluluk,melulu
meluruskn,meluruskan
melwati,melewati
memaikan,memainkan
memajang,memasang
memaksan,memaksakan
memasuki,memasukkan
membadja,membaja
membalik,membalikkan
membangunkankan,membangunkan
membata,membatalkan
membatalan,membatalkan
membentukÃ¢,membentuk
memberikab,memberikan
memberitahukan,menyampaikan
memberitau,memberitahu
members,personil
membiaya,membiayai
membikin,membuat
membleh,memble
memblow,memble
membrikan,memberikan
membubarkan,mengusir
membukat,membuka
memeberikan,memberikan
memelih,memilih
memengusir,mengusir
memerdulikan,memedulikan
memerhati,memperhatikan
memesan,fitnah
memetwit,mentwit
memfitna,memfitnah
memg,meng
memil,memilih
memilh,memilih
memkasakan,memaksakan
memmboost,mendorong
memori,ingatan
memory,memori
memotivasi,motivasi
mempan,mejarab
mempengerusikan,meneruskan
memperbaikin,memperbaiki
mempercayai,memercayai
memperdulikan,memedulikan
mempergunaakan,mempergunakan
memperingati,mengenang
memperjuangakan,memperjuangkan
memperke,memperkenalkan
memperkosa,memerkosa
mempermain,mempermainkan
mempersoal,mempersoalkan
mempesona,memesona
mempolisikan,memolisikan
memposisikan,memosisikan
mempraktekannya,mempraktikannya
mempressure,menekan
mempromote,mempromosikan
mempublikasikan,memublikasikan
memvideo,video
men,laki
mena,semena
menafairkan,menafsirkan
menafikkan,menafikan
menaikan,menaikkan
menalukan,memalukan
menampakan,menampakkan
menampung,tampung
menangin,memenangkan
menarapkan,menerapkan
menarikangkat,menarik
menasehati,menasihati
menasihat,menasihati
menayukuri,mensyukuri
menbangun,membangun
menbelah,membelah
mencak,mencak
mencalon,mencalonkan
mencar,pisah
mencarin,memencarkan
mendadakkalap,mendadak kalap
mendam,memendam
mendapatkn,mendapatkan
mendengar ,dengar
mending,lebih baik
mendingan,lebih baik
mendingg,mending
mendj,menjadi
mendsr,mendasar
mendzolimi,menzalimi
menegakan,menegakkan
menegerti,mengerti
meneh,lagi
menejernya,manajer
menelfon,menelepon
menengok,melawat
menerut,menurut
menfitnah,memfitnah
meng,melakukan
mengadobsi,mengadopsi
mengaggumkan,mengagumkan
mengagum,mengagumkan
mengajari,mengajarkan
mengajarr,ajar
mengakak,ngakak
mengalahkn,mengalahkan
mengandun,mengandung
mengantrakan,mengantarkan
mengapaninya,mengafaninya
mengatainya,memakinya
mengatas,mengatasi
mengcounter,mengonter
mengembosi,menggembosi
mengenakkan,mengenakan
mengepoi,kepo
mengera,mengira
mengerjap,menyergap
mengexpose,mengekspose
mengganggap,menganggap
menggap,menggapai
menggatikan,menggantikan
menggelagarkan,mengelak
menggenapka,menggenapkan
menggerakan,menggerakkan
menggiurkan ,memikat
menggun,mendung
menghalangmenghalangi,menghalangi
menghampaskan,menghempaskan
menghargai,menghargai
menghayal,mengkhayal
mengherthii,mengerti
menghibu,menghibur
menghilangkn,menghilangkan
menghimbau,mengimbau
menghinan,menghinanya
menghormati,menghormati
menghrpkan,mengharapkan
mengigit,menggigit
mengikut,mengikuti
mengikutii,mengikuti
mengimbau,menghimbau
mengintruksikan,menginstruksikan
mengirusi,mengurusi
mengitung,menghitung
mengjilat,menjilat
mengkelola,mengelola
mengkesal,kesal
mengko,masalah
mengkonsumsi,mengonsumsi
mengkoreksi,mengoreksi
mengkriminilisisi,mengkriminalisasi
mengncang,mengencang
mengoda,menggoda
mengomongnya,omongan
mengonggong,menggonggong
mengperbolehkan,memperbolehkan
mengsad,menyedihkan
menguggat,menggugat
mengugurkan,menggugurkan
mengunakan,menggunakan
mengusak,menguak
menhindar,menghindar
menimal,minimal
meninggoy,meninggal
meniqa,menikah
menisbatkan,menisbahkan
menizta,menista
menjadikanâ,menjadikannya
menjalintoleransi,menjalin toleransi
menjawad,menjawab
menjawap,menjawab
menjd,menjadi
menjdi,menjadi
menjdikan,menjadikan
menjdkn,menjadikan
menjelekan,menjelekkan
menjijikan,menjijikkan
menjiwai,jiwa
menjudge,menilai
menjukkan,menunjukkan
menjula,menjual
menjungjung,menjunjung
menngacu,mengacu
menola,menolak
menolakluka,menolak luka
menolaklupa,menolak lupa
menpengerusikan,meneruskan
mens,menstruasi
mensiasati,menyiasati
mensip,mensiv
mensive,besar
menstabilka,menstabilkan
mensucikan,menyucikan
mensukseskan,menyukseskan
mensyen,mention
mensyennya,mentionnya
mentab,mantap
mentalita,mentalitas
mentaliti,mentalitas
mentalny,mental
mentei,menteri
menterjemahkan,menerjemahkan
mentiagakan,meniadakan
mention,sebut
mentionan,berbalas mention
mentranslate,menerjemahkan
mentri,menteri
mentrinya,menteri
mentwit,mentweet
menuhin,memenuhi
menujuindonesiamaju,menuju indonesia maju
menungso,manusia
menunjukan,menunjukkan
menurur,menurut
menwrpa,menerpa
menyak,menyakiti
menyakini,meyakini
menyanju,menyanjung
menye,lucu
menyebutâ,menyebutnya
menyejukan,menyejukkan
menyelamatka,menyelamatkan
menyelamaykan,menyelamatkan
menyelematkan,menyelamatkan
menyenan,menyenangkan
menyenangkn,menyenangkan
menyesalboviatwitter,menyesal
menyusahkn,menyusahkan
menzhalimi,menzalimi
mepet,dekat
mera,merah
merajalele,merajalela
merampa,merampas
meranin,memerankan
merapihkan,merapikan
merauk,meraup
mercedez,mercedes
merch,barang
merchandise,barang
mercy,mercedes
merekaa,mereka
merekaaaa,mereka
merekak,mereka
meremat,meremet
merentas,meretas
merespon,menjawab
mereun,mungkin
mereview,meninjau
merhatiin,memperhatikan
meri,mari
meriahh,meriah
meridhoi,meridai
meried,menikah
meriksa,memeriksa
merindinggg,merinding
merindink,merinding
meris,miris
merit,menikah
merk,merek
merka,mereka
merknya,merek
merosakkan,merusakkan
merrid,nikah
merubah,mengubah
merupakanâ airport,bandara
merusak,merusakkan
mesakno,merasakan
mesantren,pesantren
mesen,memesan
mesh,lucu
mesih,masih
mesoom,mesum
mesopotamian,mesopotamia
mesrany,mesranya
mess,mes
message,pesan
messy,messi
mesumm,mesum
met,bertemu
metodologis,metodologi
metu,keluar
meubelair,bela
mevvah,mewah
mew,mewah
mewaiskan,mewariskan
mewh,mewah
mewoh,mewah
meyan,lumayan
mezat,sedap
mf,maaf
mff,maaf
mgerasa,merasa
mgga,tidak
mggu,minggu
mgk,mungkin
mgkin,mungkin
mgkn,mungkin
mgomongin,ngomongin
mgu,minggu
mgunakan,menggunakan
mh,ibunda
mhalalkan,menghalalkan
mhn,mohon
mhs,mahasiswa
mhswnya,mahasiswa
mhujat,menghujat
miâ,mia
miapa,demi apa
miapah,demi apa
miara,memelihara
mic,mikrofon
michongo,patung
micingin,memicing
middle,tengah
midnight,malam
midtest,ujian
migas,minyak
might,mungkin
mighty,kuat
migraine,migrain
miiin,admin
miinn,admin
mikael,michael
miker,alkohol
mikiir,pikir
mikir,pikir
mikiri,memikirkan
mikirinnn,memikirkan
mikirnya,memikirnya
mikirr,pikir
mikol,alkohol
mil,susu
milenia,milenial
milih,memilih
milihh,pilih
milihin,memilih
milihnya,memiliki
milihnya ,memilih
milikin,memiliki
milis,mailing list
milk,susu
millenials,milenial
millionaire,jutawan
milyarder,miliarder
milyunair,miliyar
mimpiii,mimpi
mimpiin,dimimpikan
mimpin,memimpin
min,admin
mincot,admin
mind,pemikiran
minds,pikiran
mindset,pikir
mine,milikku
minggon,mingguan
minghao,penyakit
mingkem,diam
minigold,emas
minions,minion
minit,menit
minjam,meminjam
minjem,pinjam
minmin,admin
minoriti,minoritas
minority,minoritas
minorutas,minoritas
minpi,mimpi
mintain,memintakan
mintak,minta
mintk,minta
minumkopiindonesia,kopi
minyo,minyak
mipango,rencana
mirandaminimal,miranda
miras,alkohol
miriiiip,mirip
miriiippp,mirip
miriip,mirip
miripp,mirip
mirippp,mirip
mirit,murid
mirp,mirip
mirroring,pencerminan
misala,misalnya
misinformasi,informasi
misix,miskin
miskinmoralitascuihh,miskomunikasi
mislkn,misal
misqin,miskin
misqueen,miskin
mission,misi
missnya,rindu
missused,disalahgunakan
mistake,kesalahan
mitnah,memfitnah
miyader,miliarder
mjadi,menjadi
mjaga,menjaga
mjd,menjadi
mjln,menjalankan
mk,mobil
mka,ibunda
mkan,makan
mkanan,makanan
mkanya,makanya
mkir,memikir
mklumin,memaklumkan
mkna,makna
mknan,makanan
mkne,makna
mkny,makanya
mknya,makanya
mksd,maksud
mksdku,maksudkan
mksdny,maksudnya
mksdnya,maksudnya
mksdq,maksudku
mksdx,maksudnya
mksh,terima kasih
mksih,terima kasih
mkstnya,maksudnya
mksudnya,maksud
mkubwa,hebat
ml,mobilelegend
mlah,bahkan
mlai,mulai
mlancarkan,melancarkan
mlarang,melarang
mlawan,melawan
mlayu,lari
mlehoy,seksi
mlembabkn,melembabkan
mlempemm,melempem
mlepaskan,melepaskan
mles,malas
mlh,bahkan
mliat,melihat
mlihatmu,melihatmu
mlik,milik
mlikk,milik
mlintir,melintir
mlipirnya,melipirnya
mlm,malam
mlorot,melorot
mlpakn,melupakan
mls,malas
mlu,malu
mlulu,melulu
mlz,malas
mmanda,manda
mmang,memang
mmbanggakan,membanggakan
mmbawa,membawa
mmbela,membela
mmbencii,membenci
mmberantas,memebrantas
mmberi,memberi
mmberikan,memberikan
mmberikn,memberikan
mmbla,membela
mmbntuk,membentuk
mmbodohkan,membodohkan
mmbuat,buat
mmbuktikan,membuktikan
mmbunuh,membunuh
mmcah,memecah
mmf,maaf
mmg,memang
mmg,memang
mmh,ibunda
mmikirkan,memikirkan
mmilih,memilih
mmliki,memiliki
mmm,bilang
mmmm,mengeluh
mmng,memang
mmperbaiki,memperbaiki
mmperhatikannya,memperhatikannya
mmperingati,memperingati
mmpraktekkannya,mempraktikannya
mmpu,mampu
mmt,menit
mmz,mas
mn,mana
mna,mana
mnakuti,menakuti
mnambh,menambah
mnampakkan,menampakkan
mnang,menang
mnangoja,menunggu
mnanti,menanti
mnasahau,lupa
mncari,mencari
mncium,mencium
mncoba,mencoba
mncuat,mencuat
mncuci,mencuci
mndaptkan,mendapatkan
mndengar,mendengar
mndg,lebih baik
mndgn,lebih baik
mndgr,mendengar
mndi,mandi
mnding,lebih baik
mndirikan,mendirikan
mndkti,mendekati
mndpat,mendapat
mndpt,mendapat
mndptkan,mendapatkan
mndptkn,mendapatkan
mndukungmu,mendukungmu
mnebar,menebar
mnenangkn,menenangkan
mnerima,menerima
mnerpa,menerpa
mnet,acara
mnfaatnya,manfaatnya
mng,menang
mngadu,mengadu
mngajarkan,mengajarkan
mngakses,mengakses
mngalami,mengalami
mngangkat,mengangkat
mngapa,mengapa
mngasi,mengasih
mngembalikan,mengembalikan
mngerdilkan,mengerdilkan
mngerjakan,mengerjakan
mngerti,mengerti
mngetahui,menyaksikani
mnggambarkan,menggambarkan
mnggiring,menggiring
mnggntung,menggantung
mnggunakan,menggunakan
mnghalangi,menghalangi
mnghapus,menghapus
mnghemat,menghemat
mnghentikan,menghentikan
mnghilang,menghilang
mnghina,menghina
mnghna,menghina
mnghujat,menghujat
mnghukumny,menghukumnya
mngikuti,mengikuti
mngira,mengira
mngkannya,makanya
mngkin,mungkin
mngkn,mungkin
mngkoreksi,mengkoreksi
mngkritisi,mengkritisi
mngtkan,menguatkan
mngusik,mengusik
mngusir,mengusir
mnh,memanah
mniadi,menjadi
mnilai,menilai
mnipee,berikan
mnipu,tipu
mnisss,manis
mnista,menista
mnjabat,menjabat
mnjadi,menjadi
mnjadikn,menjadikan
mnjaga,menjaga
mnjatuhkan,menjatuhkan
mnjawab,menjawab
mnjbat,menjabat
mnjdi,menjadi
mnjdkan,menjadikan
mnjijikaaaaaan,menjijikkan
mnjmput,menjemput
mnjtuhkan,menjatuhkan
mnjual,menjual
mnjwb,menjawab
mnkoplhukam,menko polhukam
mnkumham,menkumham
mnosi,emosi
mnrbitkan,menerbitkan
mnrt,menurut
mnrtku,menurutku
mnrtkuu,menurutku
mnt,minta
mnta,minta
mntan,mantan
mntepp,mantap
mntn,mantan
mnton,menonton
mntp,mantap
mntri,menteri
mnuju,menuju
mnum,minum
mnunggu,menunggu
mnurut,menurut
mnusia,manusia
mnusuk,menusuk
mnutup,menutup
mnyapu,menyapu
mnyatu,menyatu
mnyebabkn,menyebabkan
mnyebut,menyebut
mnyematkn,menyematkan
mnyimak,simak
mnyimpang,menyimpang
mnyngkn,menyenangkan
mnyudutkan,menyudutkan
mnyusahkanmu,menyusahkanmu
mo,menginginkan
moal,enggak
mobbit,mobil
mobel,mobil
mobil,mobile legend
mobilku,mobil
mobilmotor,mobil
mobnas,mobil
modalnyo,modal
modar,mati
moden,modern
modes,modis
modusbanget,modus
modyar,modar
modyare,mati
moen,momen
moge,motor
moh,tak mau
mohom,mohon
mojok,memojok
mok,mau
mokad,mati
mokat,mati
molah,maulah
molning,pagi
molo,mulu
mom,ibunda
momen,peristiwa
moment,momentum
momentnya,momennya
moments,peristiwa
momenum,momentum
momih,ibunda
mommy,ibunda
momotoran,bermotoran
mompas,kompas
mon,mohon
monanges,menangis
monangesss,nangis
monaslimin,nonmuslim
monastic,monastik
money,uang
monggo,silahkan
mongol,mongolia
mongomong,berbicara
monitor,mengawasi
monitoring,memantau
monmaap,maaf
monorit,monosit
monthly,bulan
months,bulan
moodbooster,penyemangat
moodiyan,murung
moodmu,mood
moodnya,mood
moodwalau,mood
moody,murung
moon,bulan
moots,mood
moqa,semoga
moraaaaaa,moral
morah,moral
morat,moral
morfotin,morfin
morning,pagi
morningg,pagi
morninggg,pagi
morningwin,pagi
morphin,morfin
mortgage,menggadaikan
mositidakpercaya,percaya
moslems,muslim
moso,masa
mosok,masa
most,paling
mosting,sebagian
mostly,kebanyakan
motdteruslah,mood
moto,foto
motogp,motor
motong,memotong
motongin,memotong
motonya,foto
motret,memotret
mountain,gunung
mouse,tikus
move,pindah
moveon,pindah
movie,film
mpe,sampai
mpo,empok
mpok,empok
mpret,kampret
mpromosikan,mempromosikan
mpu,empu
mpv,video
mr,mari
mrah,marah
mrangkul,merangkul
mrasa,merasa
mrebesmili,merembes
mrejel,mengejek
mreka,mereka
mrekaa,mereka
mrekaaaa,mereka
mrh,marah
mrie,marie
mrip,mirip
mripate,matanya
mrit,menikah
mrk,mereka
mrka,mereka
mrkapun,merekapun
mrmang,memang
mrmbuat,membuat
mrngakui,mengakui
mrngalir,mengalir
mrnghadapi,menghadapi
mrnghancurkan,menghancurkan
mrsm,cium
mrt,menurut
mrumuska,merumuskan
mrupakan,merupakan
mrusak,merusak
mry,marry
msa,masa
msalah,masalah
msg,masing
msh,masih
msi,masih
msia,asia
msk,masuk
mskasih,terima kasih
mski,meski
mskipun,meskipun
mskn,masakan
msknya,masaknya
mskpn,meskipun
mskpun,meskipun
msl,misal
mslah,masalah
mslh,masalah
mslhnya,masalahnya
mst,mesti
msti,harus
msuk,masuk
msukosuko,kekacauan
msuport,mendukung
msyarakat,masyarakat
msyrakt,masyarakat
msyrkt,masyarakat
mt,makan
mtan,mantan
mtanya,matanya
mtf,motif
mti,mati
mtk,matematika
mtmu,matamu
mtr,motor
muâ,make up artist
muach,cium
muahaha,tertawa
muahahahahhahaha,ketawa
muahal,mahal
muakmuakmuak,muak
muallaf,mualaf
mualll,mual
muantaap,mantap
muantab,mantap
muantteepp,mantap
muatcc,ciuman
much,banyak
mucrat,muncrat
mud,mood
mudaa,muda
mudahan,semoga
mudahmudahan,mudah mudahan
mudbus,penyemangat
mudeng,paham
mudhmudhn,mudah mudahan
mudika,katolik
mudo,muda
muga,semoga
mugi,semoga
muh,pakmuh
muharram,muharam
muhh,dia
muhhh,pakmuh
muito,banyak
muk,mood
muka,muka
mukae,mukanya
mukanya,muka
mukanyaa,mukanya
mukax,mukanya
mukbanggg,mukbang
muke,muka
mukeje,muka jelek
muken,mukenah
mukenah,mukenah
mukenya,mukanya
mukidikepedean,kepedean
mule,mulu
muliahkanlah,muliakanlah
muliany,mulianya
muliaty,muliati
multifandom,multi fandom
multipurpose,tujuan
multitalen,multi talenta
multitalenan,berbakat
multitalented,berbakat
mulubtw,mulu
muluskan,memuluskan
muluss,mulus
mulusssss,mulus
mulutmuharimaumu,mulutmu harimaumu
mulutny,mulutnya
mulutx,mulutnya
muluu,selalu
muluuu,melulu
muluz,mulus
mulya,mulia
mumet,pusing
mumpung,numpang
mumpuni,menguasai
muna,munafik
munaafikk,munafik
munaf,munafik
munafikk,munafik
munafikun,munafik
munafiq,munafik
munafiqun,munafik
munakahat,pernikahan
munapik,munafik
muncuk,muncul
munculah,muncul
munculnyaa,muncul
mundur,nyerah
munfik,munafik
mungki,mungkin
mungkiin,mungkin
munpung,mumpung
muntu,lelaki
munyeng,puyeng
mup,maaf
mur,murah
muraaaaah,murah
muraaahh,murah
muraaahhh,murah
murahh,murah
murahhh,murah
murahyang,murah
murce,murah
murhan,murahan
murid,murid
muridnya,murid
murmer,murah meriah
murotal,murottal
murtadz,murtad
muse,inspirasi
music,musik
musician,musisi
musicians,celebrity
musikan,mendengarkan musik
musingin,memusingkan
musk,kesturi
muslem,muslim
musli,muslim
musnahkn,memusnahkan
mustahal,mustahil
musti,harus
musuhan,bermusuhan
musuhen,bermusuhan
musuhi,memusuhi
musuhin,memusuhi
musuhmusuhnya,bermusuhan
mutas,mutasi
mute,diam
muter,memuter
muterin,memutarkan
muthmainah,mutmainah
mutihin,memutihkan
mutuain,memutuskan
mutualku,teman
mutuals,mutual
mutusin,memutuskan
muuaak,muak
muup,maaf
muupz,maaf
muuv,maaf
muzikgempak,musik
mw,menginginkan
mwaa,semua
mwaka,tahun
mwisho,terakhir
mwmbenarkan,membenarkan
my,punyaku
myamar,myanmar
mynafik,munafik
mys,myself
mz,mas
n,dan
naa,nah
naaaaahh,nah
naaaak,nak
naah,nah
naahh,nah
naam,baik
naamiin,amin
naas,nahas
nabah,tambah
nabinabiafrika,nabi
nabis,nabi
naboki,menabok
nabrak,menabrak
nabung,menabung
nabuungg,menabung
nacap,menancap
nach,nah
nadakah,adakah
nadalah,adalah
nade,adik
nadek,adik
nadilkan,adilkan
nadilnya,adilnya
nadjib,najib
naek,naik
naekin,menaikkan
naekyakali,naik
nafass,napas
nafkahin,nafkahi
nagak,prasangka
nagama,agama
nagara,negara
naggung,tanggung
nagi,nagih
nagih,menagih
nagiss,menangis
nagita,nagitasalvina
nagitaslavina,nagita slavina
nago,menawar
nahahahahhaha,tertawa
nahan,menahan
nahannnn,tahan
nahh,nah
nahhh,nah
nahhhh,nah
nahi,tidak
nahii,tidak
nahin,naik
nahloh,heran
nahu,tahu
nai,Tidak
naikin,menaikkan
naiking,naikan
naikkan,naikan
naikkin,menaikan
naileen,kuku palsu
nairn,air
naisikilizia,mendengarkan
nait,naikan
najan,karena
najaran,ajaran
najiss,najis
nak,anak
naka,nakal
nakalbolehgoblokjangan,nakal boleh goblok jangan
nakan,iyak
nakes,tenaga kesehatan
nakhirnya,akhirnya
nakibat,akibat
nakibatnya,akibat
naksir,menaksir
naktivis,aktivis
naku,saya
nakun,akun
nakutin,menakutkan
nal,kenal
nalah,bahkan
nalar,akal
nalbum,album
nalesane,alesannya
nalhamdulillah,alhamdulillah
nalhasil,alhasil
nalhmadulilah,alhamdullilah
nalias,alias
naloclair,aloclair
nalong,kalong
nalus,kalong
nam,nama
namaaz,nama
namain,menamai
namakurudy,namaku rudy
naman,aman
namani,menamai
namanku,nama
namannya,namanya
namany,namanya
namapon,tampines
namar,menawarkan
namaz,nama
nambah,menambah
nambahh,bertambah
nambahi,menambahkan
nambahin,menambahkan
nambang,menambang
nambil,ambil
name,nama
named,dinamakan
namigo,amigo
namnesia,amnesia
namnya,namanya
namo,nama
nampak,menampak
nampakin,menampakkan
nampang,tampang
nampar,menampar
namparinn,menampari
nampilin,menampilkan
nan,nan
nanak,anak
nanaknya,anak
nanam,menanam
nanatsunotaizai,menginap
nancepin,menancapkan
nand,dan
nanda,nandaarsyinta
nane,saya
naneh,aneh
nang,di
nanganin,menangani
nangdi,dimana
nanges,menangis
nanget,banget
nanggapin,menanggapi
nanggep,tanggap
nanggepi,tanggapan
nanggepin,menanggapi
nanggung,menanggung
nangiiiiis,menangis
nangiiis,menangis
nangiis,menangis
nangislaj,menangislah
nangiss,menangis
nangisss,menangis
nangissss,menangis
nangkap,menangkap
nangke,nangka
nangkep,menangkap
nangkut,angkut
nani,siapa
nanj,anjing
nanjing,anjing
nanjir,kaget
nanjirr,kaget
nank,di
nannya,tanya
nantang,menantang
nantangin,menantang
nantek,antek
nantii,nanti
nantiii,nanti
nantik,nanti
nantum,antum
nanya,bertanya
nanyadoangjanganmarah,bertanya
nanyain,menanyakan
nanyak,tanya
nanyi,bernyanyi
naok,naik
naon,apa
napa,kenapa
napaan,apaan
napabila,apabila
napada,kepada
napadah,apa dah
napakah,apakah
napalagi,apalagi
napapun,apapun
naparat,aparat
napas,nafas
napasih,apasih
nape,kenapa
napi,narapidana
napiternya,kepintaran
napol,narapidana politik
napsu,nafsu
napsuu,nafsu
napza,narkoba
naq,anak
naqu,saya
narah,arah
nargumen,argumen
nari,menari
narik,menarik
narkoba,narkoba
naro,taruh
naroh,menaruh
narok,menaruh
narsitektur,arsitektur
narsum,narasumber
nartinya,arti
nartis,celebrity
naruh,tas
nasbung,nasi bungkus
nasehatin,menasihati
nasgornya,nasi goreng
nashrani,nasrani
nasib,takdir
nasihatin,menasehati
nasihatkan,menasehati
nasiib,nasib
nasiik,asik
nasing,asing
nasset,aset
nastagfirullah,astagfirullah
nastaghfirullah,astagfirullah
nasu,anjing
nasumsi,asumsi
nata,menata
nataal,natal
natalius,natalia
natap,atap
natas,atas
natau,atau
nate,ate
nati,nanti
natilloh,nanti loh
national,nasional
nations,bangsa
natrep,nature republic
naturalllll,natural
naturally,natural
nature,alam
nau,mau
naudzubillahmindzalik,naudzubillahimindzalik
naufalyn,naufal
nauk,lauk
naura,aura
nawaatona,waatona
nawab,jawab
nawak,awak
nawal,awal
nawar,menawar
nawarin,menawari
nawarkan,menawarkan
nax,anak
nay,tidak
nayah,ayahanda
nayangin,menayangkan
nayo,ayo
nazong,najis
nbabi,babi
nbaca,baca
nbacot,bacot
nbagaimana,bagaimana
nbagi,bagi
nbagus,bagus
nbahasa,bahasa
nbahkan,bahkan
nbajingan,bajingan
nbalasan,balasan
nbalikin,kembalikan
nbangga,bangga
nbangke,bangkai
nbangsaa,bangsa
nbangsad,bangsat
nbani,bani
nbantuin,tolong bantu
nbanyak,banyak
nbanyakin,perbanyak
nbarangkali,barangkali
nbaru,baru
nbarulah,baru
nbasa,basah
nbatas,batas
nbau,bau
nbaxak,banyak
nbeberapa,beberapa
nbeda,beda
nbegitu,begitu
nbegitulah,begitulah
nbego,bodoh
nbegundal,begundal
nbejat,bejat
nbela,bela
nbelajar,belajar
nbeli,beli
nbeliau,beliau
nbelum,belum
nbencii,benci
nbensin,bensin
nberak,berak
nberarti,berarti
nberas,beras
nberasa,berasa
nberati,berarti
nberbanggalah,berbanggalah
nberbeda,berbeda
nberbekal,berbekal
nberbusa,bercahaya
nberhentilah,berhentilah
nberi,beri
nberkembang,berkembang
nbersama,bersama
nbersatu,bersatu
nbertengkar,bertengkar
nbesanpun,besan
nbetul,betul
nbgaimana,bagaimana
nbiadab,biadab
nbiar,biar
nbiarin,biar
nbiarlah,biar
nbiasa,biasa
nbiasalah,biasa
nbiasanya,biasa
nbikin,buat
nbilang,bilang
nbioskop,bioskop
nbisa,mampu
nbismillah,bismillah
nbla,nabi
nblangsak,blangsak
nblkgn,belakang
nblom,belum
nbneran,benar
nbobrok,bobrok
nbodo,bodoh
nbodoh,bodoh
nbolehlah,boleh
nbom,bom
nbonek,bokep
nboro,jangankan
nbosok,busuk
nbpjs,bpjs
nbrengsek,berewokan
nbsok,besok
nbuah,buah
nbuang,buang
nbuat,buat
nbuka,buka
nbukan,bukan
nbulat,bulat
nbundo,ibunda
nbuta,buta
nbutakah,buta
nbye,selamat tinggal
ncampur,campur
ncangkemu,cangkemu
ncangkul,cangkul
ncat,kucing
ncb,kucing
ncebi,coba
ncebong,cebong
ncek,encek
nceku,cek
ncelakalah,celaka
ncen,pengirim
ncermah,ceramah
ncewek,perempuan
ncie,bagus
ncinta,cinta
ncinya,abang
ncitra,citra
ncoba,coba
ncobalh,cobalah
ncocot,copot
ncomeonla,ayo
ncongor,congor
ncontohny,mencontohkan
ncopot,copot
ncowo,cowok
ncuihh,mengejek
ncuma,percuma
nd,tidak
nda,tidak
ndaa,tidak
ndabisa,gabisa
ndadanya,dadanya
ndagel,dagel
ndaging,daging
ndah,sudah
ndahulu,dahulu
ndak,tidak
ndakda,tidak ada
ndakk,tidak
ndalam,dalam
ndan,komandan
ndana,dana
ndang,segera
ndari,dari
ndaripada,daripada
ndasar,dasar
ndax,tidak
ndaya,daya
ndayak,dayak
ndda,tidak
ndek,adek
ndeket,dekat
ndendam,dendam
ndengan,dengan
ndengar,dengar
ndepok,depok
nder,pengirim
nderekgusmus,ikut ikutan
nderr,pengirim
nderrr,pengirim
nderrrr,pengirim
ndeso,kampungan
ndesomu,kampungan
ndewa,dewa
ndewek,sendiri
ndg,kasihan
ndgn,dengan
ndhog,telur
ndi,dimana
ndia,dia
ndiantara,diantara
ndidudukin,diduduki
ndiem,diam
ndigoyang,digoyang
ndikenal,dikenal
ndilan,dilan
ndiluar,diluar
ndimana,dimana
ndimanapun,dimana
ndio,ya
ndiperlakukan,diperlakukan
ndireksi,direksi
ndiri,sendiri
ndisana,disana
ndiserbu,diserbu
ndisini,disini
ndisiti,mendahului
nditanyain,ditangkap
nditegur,ditegur
nditemukan,ditemukan
ndk,tidak
ndok,neng
ndominasi,domisili
ndomisili,donald
ndongok,dungu
ndoweh,ada
ndower,ada
ndownload,mengunduh
ndowoon,bayar
ndpt,dapat
ndre,andre
ndrong,gondrong
ndsr,dasar
nduduk,duduk
nduh,duh
nduit,duit
nduku,dukacita
ndukun,duku
ndukung,mendukung
ndulu,dulu
ndungu,dungu
ndunia,dunia
ndunyo,dunia
ndurung,belum
ndut,gendut
ne,ini
nebar,menebar
nebarkan,menebarkan
nedan,edan
nee,nih
neealahh,ya tuhan
need,butuh
needs,membutuhkan
neeh,nih
neehh,nih
neekk,nek
neg,tawar
nega,tega
negarahukum,negara
negarany,negaranya
negati,negatif
negative,negatif
negeti,negeri
neghubungi,menghubungi
negisiasi,negosiasi
nego,negosiasi
negra,negara
negri,negeri
negriku,negeriku
negur,menegur
neh,nih
nehehe,lucu
nehehehe,lucu
neken,menandatangani
neklwkwowkwkwkk,tertawa
neko,macam
nekolim,neokolonialisme
nekolin,neokolonialisme
nekonomi,ekonomi
nekor,ekor
nekr,eksis
nekspektasi,ekspektasi
nekspetasi,ekspektasi
nekuni,teladan
nelen,menelan
nelfon,menelepon
nelite,elite
neliyakim,elyakim
nelkana,elkana
nelponin,menelponi
nelu,dia
nemak,ibunda
nemang,memang
nemangnya,memangnya
nembak,menembak
nembakin,menembaki
nembuka,membuka
nemen,menemani
nemenin,menemani
nemg,memang
nemosi,emosi
nempel,menempel
nemplok,menempel
nempo,tempo
nemu,menemukan
nemui,menemui
nemuin,menemukan
nemunya,menemukan
nenak,enak
nenangin,menenangkan
nend,selesai
nengga,tidak
nenggolan,wahana
nengok,menengok
nentah,entah
nentahlah,entahlah
nente,dia
nentuin,menentukan
nenurut,menurut
nenyebalkan,menyebalkan
nepu,emut emut
nerawang,menerawang
nerd,kutu buku
nerdy,lugu
neria,ceria
nerima,menerima
nerka,menerka
nerobos,menerobos
